NAME	Min	Max
BPG	0.0001	0.0905373
P2G	0.0327963	0.836828
P3G	0.242579	11.5148
ADP	0.0427715	4.1867
DHAP	0.0222383	6.19442
E4P	0.00102107	99.9998
F6P	0.172823	4.79236
FBP	0.0162942	7.06937
GAP	0.0214946	100
NADPH	0.000207787	36.4853
PEP	0.170069	2.99344
PHI	1	20
R5P	0.0253747	0.158798
Ru5P	0.00765143	0.0694708
RuBP	0.0592774	11.2311
S7P	0.014547	4.33294
SBP	0.0001	99.4623
Xu5P	0.0297951	14.8887
PYR	0.0001	100
ATP	0.030121	43.4319
NADP	0.00548865	1.31574
O2	0.273	0.273
CO2_cax	0.15	0.15
CO2_cyt	0.0136	0.0136
ACCOA	0.00249867	0.963945
NADH	0.000100001	0.227964
NAD	0.00639636	0.652417
COA	0.0001	99.996
NADPH/NADP	0.0378572	27.7303
ATP/ADP	0.0594318	15.463
NADH/NAD	0.00463872	0.349415
