BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	PYR	ATP	NADP	O2	CO2_cax	CO2_cyt	ACCOA	NADH	NAD	COA	PPool
2.829365E-03	1.990596E-01	4.157815E+00	4.614193E-01	1.450678E-01	2.387257E-02	1.042515E+00	1.944539E+00	8.239632E+00	3.749635E-01	8.837032E-01	3.859557E+00	5.298195E-02	2.163081E-02	2.703305E-01	1.388574E+00	1.342500E-04	1.010121E+00	1.302310E+01	1.682518E+00	2.861650E-02	2.730000E-01	1.500000E-01	1.360000E-02	2.819520E-03	3.014660E-03	6.551097E-02	2.997404E-02	4.245513E+00
7.125309E-03	4.738964E-01	3.648282E+00	5.455266E-02	3.392681E+00	1.377561E-03	1.127375E+00	1.424805E+00	4.261782E-01	3.788081E+00	4.454678E-01	1.365596E+01	2.896688E-02	8.485146E-03	2.145888E-01	2.879320E-02	1.242613E-04	4.108214E-02	1.302667E-01	3.325253E-01	2.440338E-01	2.730000E-01	1.500000E-01	1.360000E-02	4.593633E-03	1.856546E-02	6.244863E-01	4.524882E+01	1.502156E+01
1.558644E-03	9.012688E-02	8.214167E+00	2.692114E+00	1.358498E+00	2.682015E-01	1.017799E+00	1.437657E-01	1.843171E+00	3.439247E+00	3.562873E-01	6.218273E+00	7.086469E-02	1.548935E-02	1.261022E-01	2.264824E-01	6.620989E-03	1.004672E-01	1.209378E-03	7.123763E+00	2.501916E-01	2.730000E-01	1.500000E-01	1.360000E-02	4.614134E-01	7.297493E-04	1.087421E-02	2.296467E-01	6.840100E+00
2.746394E-03	3.079478E-01	5.205595E+00	8.081824E-02	1.857860E+00	1.351475E-01	3.049813E+00	4.342672E-02	1.065288E+00	7.574796E+00	6.495943E-01	2.126761E+00	2.867574E-02	1.130415E-02	2.637361E-01	2.684882E-01	1.692813E-04	1.925213E-01	3.228761E+01	1.120503E+00	6.779403E-01	2.730000E-01	1.500000E-01	1.360000E-02	9.239313E-03	8.490237E-02	4.713829E-01	1.919696E+01	2.339437E+00
1.037897E-02	3.504539E-01	1.033573E+01	1.349022E-01	2.638833E+00	6.490108E-03	2.019159E-01	9.995199E-01	1.670414E+01	3.723950E-01	3.495940E-01	8.628548E+00	5.405483E-02	2.013492E-02	5.340957E+00	2.598283E-01	1.572689E-04	4.302068E+00	2.090340E-01	5.916891E-01	1.953044E-02	2.730000E-01	1.500000E-01	1.360000E-02	5.053063E-03	4.033665E-03	3.907433E-01	1.610620E-01	9.491403E+00
1.615816E-04	6.556214E-01	4.379917E+00	3.442109E-01	1.890935E-01	2.115009E-02	2.610426E+00	7.845780E-02	1.373070E-01	2.195188E-01	1.495747E+00	1.404235E+00	6.740480E-02	9.744855E-03	6.027448E+00	3.109633E+00	1.015546E-04	1.686331E-01	2.472188E-02	1.342924E-01	1.304331E-01	2.730000E-01	1.500000E-01	1.360000E-02	5.160029E-03	2.390289E-02	2.442824E-01	7.835656E-04	1.544659E+00
2.930888E-03	7.206900E-02	3.335737E+00	5.094884E-02	3.857094E-01	3.016079E-03	1.447187E+00	2.448322E-02	1.783814E+00	1.725870E+01	1.808686E-01	4.244584E+00	1.454243E-01	1.039275E-02	5.183090E-01	6.501243E-01	1.093302E-04	8.128272E-02	1.300950E-04	1.824410E-01	7.010713E-01	2.730000E-01	1.500000E-01	1.360000E-02	2.514757E-03	3.436320E-03	1.653879E-02	1.587155E-01	4.669042E+00
3.290424E-03	9.129811E-02	2.149058E+00	2.677719E+00	3.437646E+00	3.292473E-03	3.435813E-01	4.282903E+00	6.416621E-01	2.632037E+00	2.453882E-01	1.750779E+01	3.812916E-02	1.458094E-02	1.310932E+00	3.425877E-01	5.868617E-04	3.725155E-01	1.437891E-03	8.490020E+00	5.512059E-01	2.730000E-01	1.500000E-01	1.360000E-02	8.429347E-02	1.012512E-03	1.612027E-01	4.031095E-03	1.925857E+01
1.514174E-03	2.145613E-01	1.856374E+00	5.571250E-02	2.159618E+00	2.452785E+00	2.388221E+00	1.323067E+00	1.193339E+01	1.024563E+00	1.771256E-01	1.008471E+00	6.069376E-02	1.869669E-02	2.429326E+00	3.070188E-02	4.526437E-04	1.037961E-01	1.155396E-02	5.159358E-01	1.011382E-01	2.730000E-01	1.500000E-01	1.360000E-02	2.731093E-01	4.604999E-03	9.671383E-02	3.133271E+00	1.109318E+00
3.275298E-03	1.066029E-01	2.079360E+00	6.128988E-01	5.870919E+00	1.053744E-01	1.222395E+00	1.819332E-02	4.684179E+00	4.872160E+00	5.018234E-01	4.463975E+00	4.850125E-02	1.201537E-02	3.301632E+00	6.551497E-01	2.638377E-04	1.004760E-01	2.939735E-02	2.316997E+00	6.872537E-01	2.730000E-01	1.500000E-01	1.360000E-02	1.061240E-02	2.330931E-04	9.300518E-03	4.474529E-01	4.910373E+00
