BPG	P2G	P3G	ADP	DHAP	E4P	F6P	FBP	GAP	NADPH	PEP	PHI	R5P	Ru5P	RuBP	S7P	SBP	Xu5P	ATP	NADP	O2	CO2	PYR
0.047721377	0.2186065682	8.2548112467	0.0612931743	0.8730362106	0.1041929816	1.5668655044	0.0773253131	1.5958561272	24.1109260479	0.522430771	2.0329968254	0.1586862061	0.0191075748	5.2164879202	0.0552068393	0.001252444	0.0842668651	1.0759392183	0.2315465596	0.273	0.15	0.0003974379
0.0238839854	0.344307843	8.5153384033	1.1247877993	0.4198288595	0.0855982334	3.5893677407	0.2547246858	0.6465062802	7.0488194707	0.418023597	4.7751648038	0.065835931	0.0088821429	5.9793353122	0.1320536429	0.0005603689	0.1551787196	9.0307580566	0.0534751061	0.273	0.15	0.0509186908
0.0034870787	0.1488375619	5.4291710757	0.5125731987	0.2124076111	0.0464887444	3.7895667701	0.5864931235	0.111042218	10.455151857	0.769599015	1.4655228869	0.0427898428	0.0093296744	7.7787530746	1.4372799433	0.2034140553	0.0374932985	12.1412997839	0.0498651232	0.273	0.15	0.0067012039
0.0167862239	0.2879249868	4.6257996089	0.207454923	0.4752567712	0.3496536211	1.8898118168	5.4017997928	1.003047734	16.667187211	0.1706440686	1.1442670505	0.1078868879	0.0109599492	0.0783276098	0.0884015905	0.0464953029	0.0770020687	4.4170795473	0.0981446193	0.273	0.15	1.1001136599
0.0154247972	0.8000666386	9.4562572624	0.1156004866	0.0372682415	0.144201335	2.7936737216	4.2618297422	0.2626954128	13.5487882183	0.5885880755	1.3991418697	0.0488165452	0.0110870594	5.0996071166	1.3532365551	0.0164494822	0.0529184004	0.9196090431	0.0808809521	0.273	0.15	13.732222951
0.0179295499	0.0976969191	2.8325673688	0.0472589424	0.7418139234	0.0643494548	4.4650057556	2.0780506539	2.0618714095	27.6244819599	0.2270068247	2.0761451467	0.0785498574	0.0083679264	10.5530941804	0.103796909	0.163505857	0.0490754364	1.1293125727	0.1076294509	0.273	0.15	0.183789391
0.027585471	0.4904664357	3.6679519466	0.5198846951	2.1942436249	0.0879891716	1.5960966693	0.4285208902	0.4189345433	10.368663622	1.8897857893	1.97409068	0.0611198089	0.011125729	7.8940192623	0.1166118892	0.0081183185	0.1009140645	8.0092997138	0.044812691	0.273	0.15	49.3547439269
0.087971691	0.2823093708	4.1971181775	0.1814412691	1.2480484198	0.0199962879	2.5738509293	0.1732539727	1.1427345705	5.4005196083	0.4107552197	2.1159935656	0.0431496946	0.0085041082	0.1564949503	0.0398374661	0.0190669787	0.0692352013	9.6981002218	0.0749895462	0.273	0.15	4.7322963964
0.027111511	0.2190098103	2.7078701338	0.2827517013	0.3232266732	0.8271599278	4.2994811985	4.4159120537	2.01002338	26.346792703	0.393916897	3.4240945919	0.0571211613	0.0088981934	6.7839406421	1.1717835685	0.0241122214	0.1210668983	7.3403914538	0.0962947415	0.273	0.15	0.0016693665
0.0693772708	0.3773219444	10.8694264642	0.0437416387	2.1291811458	0.1265931952	0.5338028	3.901254116	0.920324074	4.5162434376	0.7014052937	2.7374907125	0.0286428857	0.0103025453	0.6728589192	0.0598495136	0.0005384137	0.0441025068	0.9481478849	0.085480343	0.273	0.15	0.0004390476
