Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.686
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.469
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.56
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.59
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.598
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.639
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.439
PCC 6803	Ryu_2004	NA	ATP_ADP_ratio	0.469
PCC 6803	Takahashi_2008	NA	ATP_ADP_ratio	1.0827858081
PCC 6803	Takahashi_2008	NA	ATP_ADP_ratio	0.7300511509
PCC 6803	Takahashi_2008	NA	ATP_ADP_ratio	1.1462867012
PCC 6803	Takahashi_2008	NA	ATP_ADP_ratio	0.5357483317
PCC 6803	Hasunuma_2013	NA	ATP_ADP_ratio	0.1090909091
PCC 6803	Yoshikawa_2013_Autotrophic	NA	ATP_ADP_ratio	11.7121212121
PCC 6803	Yoshikawa_2013_Photoheterotrophic	NA	ATP_ADP_ratio	21.1818181818
PCC 6803	Yoshikawa_2013_Mixotrophic	NA	ATP_ADP_ratio	16.2142857143
PCC 6803	Dempo_2014	NA	ATP_ADP_ratio	0.3287250384
PCC 7002	Dempo_2014	NA	ATP_ADP_ratio	1.1529850746
PCC 7942	Dempo_2014	NA	ATP_ADP_ratio	0.7983193277
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	3
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	1
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	0.5384615385
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	1
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	2.3333333333
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	1.2222222222
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	0.3333333333
PCC 6803	Cooley_2001	NA	NADPH_NADP_ratio	1
PCC 7942	Tamoi_2005	NA	NADPH_NADP_ratio	1.3514492754
PCC 7942	Tamoi_2005	NA	NADPH_NADP_ratio	1.7288135593
PCC 6803	Takahashi_2008	NA	NADPH_NADP_ratio	1.3852030559
PCC 6803	Takahashi_2008	NA	NADPH_NADP_ratio	1.2546981777
PCC 6803	Takahashi_2008	NA	NADPH_NADP_ratio	1.0239331678
PCC 6803	Takahashi_2008	NA	NADPH_NADP_ratio	1.6903385632
PCC 6803	Osanai_2014	NA	NADPH_NADP_ratio	0.007
PCC 6803	Osanai_2014	NA	NADPH_NADP_ratio	0.0042
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	1.8571428571
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	1
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	2.3333333333
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	2.3333333333
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	1.2222222222
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	1
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	0.8181818182
PCC 6803	Cooley_2001	NA	NADH_NAD_ratio	0.6393442623
PCC 7942	Tamoi_2005	NA	NADH_NAD_ratio	15.4098360656
PCC 7942	Tamoi_2005	NA	NADH_NAD_ratio	15.1898734177
PCC 6803	Takahashi_2008	NA	NADH_NAD_ratio	0.2298837073
PCC 6803	Takahashi_2008	NA	NADH_NAD_ratio	0.6157230859
PCC 6803	Takahashi_2008	NA	NADH_NAD_ratio	0.220713249
PCC 6803	Takahashi_2008	NA	NADH_NAD_ratio	0.5334851326
PCC 6803	Osanai_2014	NA	NADH_NAD_ratio	0.0021
PCC 6803	Osanai_2014	NA	NADH_NAD_ratio	0.0021
PCC 6803	Anfelt_2015	NA	NADH_NAD_ratio	0.1818181818
PCC 6803	Anfelt_2015	NA	NADH_NAD_ratio	0.0294117647
PCC 6803	Anfelt_2015	NA	NADH_NAD_ratio	0.243902439
PCC 6803	Anfelt_2015	NA	NADH_NAD_ratio	0.1086956522
PCC 7942	Noguchi_2016	NA	NADH_NAD_ratio	0.29
PCC 7942	Noguchi_2016	NA	NADH_NAD_ratio	0.39
PCC 6803	Dempo_2014	C00002	ATP	0.9304292
PCC 6803	Hasunuma_2013	C00002	ATP	0.0521736
PCC 6803	Yoshikawa_2013_Autotrophic	C00002	ATP	3.3608494
PCC 6803	Yoshikawa_2013_Mixotrophic	C00002	ATP	3.9478024
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00002	ATP	3.0391122
PCC 6803	Dempo_2014	C00003	NAD	0.22347692
PCC 6803	Hasunuma_2013	C00003	NAD	0.152173
PCC 6803	Yoshikawa_2013_Autotrophic	C00003	NAD	0.2304334
PCC 6803	Yoshikawa_2013_Mixotrophic	C00003	NAD	0.1652164
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00003	NAD	0.1869554
PCC 6803	Dempo_2014	C00006	NADP	0.26695492
PCC 6803	Yoshikawa_2013_Autotrophic	C00006	NADP	0.2999982
PCC 6803	Yoshikawa_2013_Mixotrophic	C00006	NADP	0.1913032
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00006	NADP	0.1608686
PCC 6803	Dempo_2014	C00008	ADP	2.8304178
PCC 6803	Hasunuma_2013	C00008	ADP	0.478258
PCC 6803	Yoshikawa_2013_Autotrophic	C00008	ADP	0.2869548
PCC 6803	Yoshikawa_2013_Mixotrophic	C00008	ADP	0.2434768
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00008	ADP	0.1434774
PCC 6803	Hasunuma_2013	C00009	P_i	1.565208
PCC 6803	Shastri_2007	C00011	CO2_cyt	0.0043478
PCC 6803	Hasunuma_2013	C00015		0.0478258
PCC 6803	Yoshikawa_2013_Autotrophic	C00015		0.4260844
PCC 6803	Yoshikawa_2013_Mixotrophic	C00015		0.0304346
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00015		0.0130434
PCC 6803	Dempo_2014	C00016		0.043391044
PCC 6803	Hasunuma_2013	C00016		0.00782604
PCC 6803	Yoshikawa_2013_Autotrophic	C00016		0.021739
PCC 6803	Yoshikawa_2013_Mixotrophic	C00016		0.0391302
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00016		0.0347824
PCC 6803	Hasunuma_2013	C00019		0.03304328
PCC 6803	Yoshikawa_2013_Autotrophic	C00019		0.2347812
PCC 6803	Yoshikawa_2013_Mixotrophic	C00019		0.2695636
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00019		0.1782598
PCC 6803	Dempo_2014	C00020		4.652146
PCC 6803	Hasunuma_2013	C00020		0.3869542
PCC 6803	Yoshikawa_2013_Autotrophic	C00020		0.195651
PCC 6803	Yoshikawa_2013_Mixotrophic	C00020		0.0521736
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00020		0.0347824
PCC 6803	Hasunuma_2013	C00021		0.0043478
PCC 6803	Dempo_2014	C00022	PYR	4.56519
PCC 6803	Shastri_2007	C00022	PYR	0.043478
PCC 6803	Dempo_2014	C00024	ACCOA	0.19260754
PCC 6803	Hasunuma_2013	C00024	ACCOA	0.002782592
PCC 6803	Shastri_2007	C00024	ACCOA	0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00024	ACCOA	0.0695648
PCC 6803	Yoshikawa_2013_Mixotrophic	C00024	ACCOA	0.1043472
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00024	ACCOA	0.0826082
PCC 6803	Dempo_2014	C00025		92.60814
